Affiliation,Country,count,latitude,longitude
Yonsei University,South Korea,210,37.28009655,127.901503
Medical University of Plovdiv,Bulgaria,209,42.6073975,25.4856617
Ain Shams University,Egypt,207,30.07546565,31.29041137
Zewail City of Science and Technology,Egypt,205,26.2540493,29.2675469
University of Hyderabad,India,203,17.4534271,78.32674059
"Ente Per Le Nuove Tecnologie, l'Energia e l'Ambiente",Italy,199,42.6384261,12.674297
"Faculty of Medicine, Khon Kaen University",Thailand,197,14.8971921,100.83273
CSFNSM Centro Siciliano di Fisica Nuclear e Struttura della Materia,Italy,195,42.6384261,12.674297
Center of Excellence on Petrochemical and Materials Technology,Thailand,194,14.8971921,100.83273
International Islamic University Malaysia,Malaysia,192,3.25308125,101.7356842
Thailand Ministry of Public Health,Thailand,188,13.8494019,100.5251238
Rangsit University,Thailand,185,13.96650865,100.58423
Institute for Particle Physics Phenomenology,United Kingdom,184,54.7023545,-3.2765753
Burapha University,Thailand,181,13.27658915,100.9256197
Universidade Federal de Mato Grosso do Sul,Brazil,181,-20.51105935,-54.61959541
Universidade Federal de Pelotas,Brazil,181,-31.78126065,-52.32369487
Tokat Gaziosmanpa?a ?niversitesi,Turkey,179,40.32810385,36.48060207
State Key Laboratory of Nuclear Physics and Technology,China,176,35.0000663,104.999955
Thailand National Nanotechnology Center,Thailand,175,14.8971921,100.83273
The University of Tokyo,Japan,175,35.9019845,139.9362233
"Islamic Azad University, Science and Research Branch",Iran,174,32.6475314,54.5643516
Walailak University,Thailand,174,14.8971921,100.83273
Faculty of Science,Egypt,172,36.71533125,-4.47271128
Phramongkutklao College of Medicine,Thailand,166,13.7694257,100.5318649
Thailand National Metal and Materials Technology Center,Thailand,165,14.8971921,100.83273
??rnak University,Turkey,161,37.50229335,42.42520976
University of Toronto,Canada,160,43.663462,-79.39775966
Utah Valley University,United States,159,40.27941055,-111.7178868
Cairo University,Egypt,156,30.02681195,31.20591857
Nanjing Normal University,China,155,32.0550562,118.7621005
"Sasin School of Management, Bangkok",Thailand,153,14.8971921,100.83273
Helwan University,Egypt,150,29.86672095,31.31559
Rockefeller University,United States,150,40.76243945,-73.95575648
Yak?n Do?u ?niversitesi,Cyprus,150,35.22789255,33.32274855
"Ministry of Higher Education, Science, Research and Innovation",Thailand,146,14.8971921,100.83273
Bozok Universitetesi Rekt?rl?g?,Turkey,145,38.9597594,34.9249653
Milli Savunma ?niversitesi,Turkey,144,41.10162955,29.014109
Indian Institute of Technology Bombay,India,143,19.13261855,72.9149702
Fudan University,China,141,31.30116485,121.4980876
Hungarian University of Agriculture and Life Sciences,Hungary,141,47.59374975,19.36339467
"University of Science and Technology of Mazandaran, Behshahr",Iran,140,32.6475314,54.5643516
Thailand National Science and Technology Development Agency,Thailand,138,13.76380555,100.52877
"Eastern University, Sri Lanka",Sri Lanka,137,8.6542038,81.2136465
American University of the Middle East,Kuwait,135,29.1640713,48.09938304
King Abdulaziz University,Saudi Arabia,131,21.49341465,39.24854488
National University of Singapore,Singapore,128,1.2962018,103.7768977
?cole polytechnique,France,127,48.7127874,2.2107453
"Faculty of Medicine, Chiang Mai University",Thailand,127,14.8971921,100.83273
"Faculty of Medicine Siriraj Hospital, Mahidol University",Thailand,125,14.8971921,100.83273
"Faculty of Medicine, Thammasat University",Thailand,123,14.8971921,100.83273
Suranaree University of Technology,Thailand,123,14.88110605,102.0030695
Ramkhamhaeng University,Thailand,122,13.75620155,100.6174496
G.H.G. Khalsa College,India,120,22.3511148,78.6677428
Laboratoire Leprince-Ringuet,France,120,48.7120854,2.2065912
Johns Hopkins Bloomberg School of Public Health,United States,117,39.29797355,-76.58991739
National Astronomical Research Institute of Thailand,Thailand,117,14.8971921,100.83273
Institut Pluridisciplinaire Hubert Curien,France,115,46.603354,1.8883335
Suez University,Egypt,115,30.6221359,32.27505489
Institut de Physique des 2 Infinis de Lyon,France,114,46.603354,1.8883335
Ecole Polytechnique F?d?rale de Lausanne,Switzerland,112,46.5186594,6.566561505
"University of California, San Francisco",United States,111,37.7627257,-122.4582568
Suan Sunandha Rajabhat University,Thailand,110,13.77545505,100.5083473
"Faculty of Tropical Medicine, Mahidol University",Thailand,109,14.8971921,100.83273
Mahasarakham University,Thailand,108,16.2011686,103.2699951
Mayo Clinic,United States,108,-26.1505617,27.91973184
Harvard Medical School,United States,107,42.33683185,-71.10380921
University of Melbourne,Australia,106,-37.82412055,144.9168111
Hokkaido University,Japan,105,43.07900775,141.3377295
Stanford University,United States,100,37.43131385,-122.1693654
Chulabhorn Royal Academy,Thailand,99,13.8838123,100.57008
"Faculty of Medicine, Prince of Songkia University",Thailand,99,14.8971921,100.83273
The HIV Netherlands Australia Thailand Research Collaboration,Thailand,99,14.8971921,100.83273
Chinese University of Hong Kong,Hong Kong,97,22.4140914,114.2100208
Massachusetts General Hospital,United States,97,42.36286045,-71.06875297
The Kirby Institute,Australia,97,42.3610883,-83.06472636
Center of Excellence on Hazardous Substance Management,Thailand,96,14.8971921,100.83273
Shanghai Jiao Tong University,China,96,31.20089115,121.4283949
Sharif University of Technology,Iran,96,35.7025215,51.3517293
University of Phayao,Thailand,96,19.029965,99.8935287
Yazd University,Iran,96,31.830437,54.34903558
Erciyes ?niversitesi,Turkey,94,38.70739135,35.53375657
Institute of Nuclear Physics Uzbekistan Academy of Sciences,Uzbekistan,94,41.41360545,69.45282145
Instituto Astrofisico de Canarias,Spain,94,28.481415,-16.3195125
University of Liverpool,United Kingdom,93,53.40724285,-2.965833661
Karolinska Institutet,Sweden,92,59.3515453,18.0310658
Vajira Hospital,Thailand,92,13.7806675,100.5093784
