target,Country,count
University of Washington,United States,64
UNSW Sydney,Australia,64
Universitat de València,Spain,64
Kyoto University,Japan,64
Chiangrai Prachanukroh Hospital,Thailand,64
"University of Michigan, Ann Arbor",United States,63
Centre for Addiction and Mental Health,Canada,63
Ton-Duc-Thang University,Viet Nam,62
Ubon Ratchathani University,Thailand,61
The University of New Mexico,United States,61
"University of California, Irvine",United States,60
"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",Indonesia,59
Çağ Üniversitesi,Turkey,59
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,57
National Taiwan University Hospital,Taiwan,56
Michigan Technological University,United States,56
Consiglio Nazionale delle Ricerche,Italy,56
Henryk Niewodniczanski Institute of Nuclear Physics of the Polish Academy of Sciences,Poland,55
University of Hawaiʻi at Mānoa,United States,55
Forschungszentrum Jülich GmbH,Germany,55
University of Kufa,Iraq,54
Universidad de Guadalajara,Mexico,54
Maejo University,Thailand,54
Viet Nam National University Ho Chi Minh City,Viet Nam,54
Université de Mons,Belgium,54
Instituto Nacional de Astrofisica Optica y Electronica,Mexico,54
Nagaoka University of Technology,Japan,53
Universitat de Barcelona,Spain,53
Keio University,Japan,53
Universidad Michoacana de San Nicolás de Hidalgo,Mexico,52
Synchrotron Light Research Institute (Public Organization),Thailand,52
Universidad Autónoma de Chiapas,Mexico,51
Kyushu University,Japan,51
Nagoya University,Japan,51
Singapore General Hospital,Singapore,51
Los Alamos National Laboratory,United States,51
Max-Planck-Institut für Kernphysik,Germany,51
Instituto Politécnico Nacional,Mexico,51
Universidad Autónoma del Estado de Hidalgo,Mexico,51
The University of Arizona,United States,50
"University of California, Berkeley",United States,49
"Institute of Molecular Biosciences, Mahidol University",Thailand,49
Institute of Physics,India,49
College of Engineering and Technology,Egypt,49
City University of Hong Kong,Hong Kong,49
Rajamangala University of Technology Srivijaya,Thailand,49
Meijo University,Japan,48
Tecnológico de Monterrey,Mexico,48
Guy's and St Thomas' NHS Foundation Trust,United Kingdom,48
Universität Wien,Austria,48
HJF,United States,48
Ilia State University (ISU),Georgia,48
Asian Institute of Technology Thailand,Thailand,48
Royal Society of Thailand,Thailand,48
University of Bern,Switzerland,48
Instituto de Ciencias Nucleares de la UNAM,Mexico,47
Harvard T.H. Chan School of Public Health,United States,46
Johns Hopkins School of Medicine,United States,46
University of Tsukuba,Japan,46
Aarhus Universitet,Denmark,46
Icahn School of Medicine at Mount Sinai,United States,45
"National Research Centre ""Kurchatov Institute""",Russian Federation,45
"Armed Forces Research Institute of Medical Sciences, Thailand",Thailand,45
Université Paris Cité,France,45
University of Alberta,Canada,44
Nuffield Department of Medicine,United Kingdom,44
Eberly College of Science,United States,44
University of Cape Town,South Africa,43
Erasmus MC,Netherlands,43
Ludwig-Maximilians-Universität München,Germany,43
"Sirindhorn International Institute of Technology, Thammasat University",Thailand,43
Amsterdam UMC - University of Amsterdam,Netherlands,43
Hirosaki University,Japan,43
National Institute of Development Administration,Thailand,43
Università degli Studi di Milano,Italy,42
Siam University,Thailand,42
KU Leuven,Belgium,42
Rajamangala University of Technology Krungthep,Thailand,42
Queen Savang Vadhana Memorial Hospital,Thailand,42
University of Pennsylvania Perelman School of Medicine,United States,42
NASA Goddard Space Flight Center,United States,41
Veterans General Hospital-Taipei,Taiwan,41
MATE Institute of Technology,Hungary,41
Universitas Indonesia,Indonesia,41
Queen Sirikit National Institute of Child Health,Thailand,40
Universidad Politécnica de Pachuca,Mexico,40
Penn State Great Valley,United States,40
Sorbonne Université,France,40
Northwestern University Feinberg School of Medicine,United States,40
The University of Adelaide,Australia,39
National Cancer Institute Thailand,Thailand,39
Universidade Federal do Ceará,Brazil,39
The UWA Business School,Australia,38
Synchrotron Light Research Institute,Thailand,38
Walter Reed Army Institute of Research,United States,38
"The Islamic University, Najaf",Iraq,38
The University of North Carolina at Chapel Hill,United States,38
Københavns Universitet,Denmark,38
Linköpings Universitet,Sweden,38
Georgia Institute of Technology,United States,38
Xiamen University,China,38
Yale University,United States,37
Chinese Academy of Sciences,China,37
"Postgraduate Institute of Medical Education &amp; Research, Chandigarh",India,37
University of New Hampshire Durham,United States,37
Duy Tan University,Viet Nam,37
Tan Tock Seng Hospital,Singapore,37
Baylor College of Medicine,United States,37
Pontificia Universidad Católica de Chile,Chile,36
The University of Western Australia,Australia,36
Universidad de Monterrey,Mexico,36
NASA Marshall Space Flight Center,United States,36
Universidade do Estado do Amazonas,Brazil,36
Universiti Teknologi PETRONAS,Malaysia,36
Haskoli Islands,Iceland,36
Bhumibol Adulyadej Hospital,Thailand,35
The University of Texas at Austin,United States,35
Prince of Wales Hospital Hong Kong,Hong Kong,35
Stockholms universitet,Sweden,35
University of Central Punjab,Pakistan,35
University of Massachusetts Amherst,United States,35
Chang Gung University College of Medicine,Taiwan,35
Bangkok University,Thailand,35
University of the Philippines Manila,Philippines,35
National Institute of Allergy and Infectious Diseases (NIAID),United States,35
Laboratory of Biotechnology,Thailand,34
Institute of HIV Research and Innovation,Thailand,34
Duke-NUS Medical School,Singapore,34
National Cheng Kung University,Taiwan,34
Eberhard Karls Universität Tübingen,Germany,34
Pennsylvania State University,United States,34
National University Hospital,Singapore,34
Yale School of Medicine,United States,34
Thailand Institute of Scientific and Technological Research (TISTR),Thailand,33
Universität Graz,Austria,33
The Graduate University for Advanced Studies,Japan,33
Kumamoto University,Japan,33
Maharaj Nakhon Ratchasima Hospital,Thailand,33
Nanjing University,China,33
Khon Kaen Regional Hospital,Thailand,32
King Mongkuts University of Technology,Thailand,32
"Faculty of Medicine, Srinakharinwirot University",Thailand,32
Johannes Gutenberg-Universität Mainz,Germany,32
University of Ulsan College of Medicine,South Korea,32
Memorial Sloan-Kettering Cancer Center,United States,32
"University of the Witwatersrand, Johannesburg",South Africa,32
"SCG Chemicals Co., Ltd.",Thailand,32
Universiti Teknologi MARA,Malaysia,32
"Universitätsklinikum Gießen und Marburg, Standort Marburg",Germany,32
Yonsei University College of Medicine,South Korea,31
Colorado State University,United States,31
Ho Chi Minh City University of Education,Viet Nam,31
Rajamangala University of Technology Tawan-ok,Thailand,31
Tokyo Medical and Dental University,Japan,31
London School of Hygiene &amp; Tropical Medicine,United Kingdom,31
Brigham and Women's Hospital,United States,31
Charité – Universitätsmedizin Berlin,Germany,31
Vrije Universiteit Amsterdam,Netherlands,31
Huachiew Chalermprakiet University,Thailand,31
Durham University,United Kingdom,31
Duke University,United States,31
Punjab Agricultural University,India,31
Universidad de Tarapacá,Chile,31
Stanford University School of Medicine,United States,30
Weill Cornell Medicine,United States,30
University of Wyoming,United States,30
University of Calgary,Canada,30
School of Materials and Mineral Resources Engineering,Malaysia,30
Hiroshima University,Japan,30
